reporter_iso3,reporter_name,year,avg_hhi,avg_cr3,avg_distance,total_imports,lpi_score,customs,infrastructure,logistics_quality,tracking_tracing,timeliness,gvc_participation
SEN,Senegal,2019,0.1769068172039006,0.5577649977835375,6319.384682377049,4309186.938301,2.25,2.17,2.22,2.11,2.11,2.52,60
SWE,Sweden,2019,0.09437167422439027,0.421809373116557,6168.931374845869,122266906.8858015,4.05,4.05,4.24,3.98,3.88,4.28,72
SWE,Sweden,2020,0.09478762290096773,0.42346259977392237,6143.722189054726,118003879.471104,4,4,4.2,4.2,4.1,4.2,72
SWE,Sweden,2021,0.09383901309932768,0.42717464183848414,6290.1004118329465,146233042.242108,4,4,4.2,4.2,4.1,4.2,NA
SWE,Sweden,2022,0.09590542216511717,0.4313185040749853,6333.763647586981,149285775.566145,4,4,4.2,4.2,4.1,4.2,NA
SWE,Sweden,2023,0.09139627789311046,0.42077354614214635,6321.30290005777,146334655.666648,4,4,4.2,4.2,4.1,4.2,NA
TUR,Turkey,2019,0.0867469424686767,0.41114641740880303,5369.997778532609,150903161.33,3.15,2.71,3.21,3.05,3.23,3.63,68
TUR,Turkey,2020,0.09450799343395844,0.4267598307696264,5489.479973684211,172180347.387,3.4,3,3.4,3.5,3.5,3.6,68
TUR,Turkey,2021,0.08901858731946946,0.4096256562129283,5607.031291273584,198060338.085,3.4,3,3.4,3.5,3.5,3.6,NA
TUR,Turkey,2022,0.1094274838737051,0.44327259114057377,5691.950965116279,238903250.337,3.4,3,3.4,3.5,3.5,3.6,NA
TUR,Turkey,2023,0.11388803641450856,0.45905541757628165,5731.642245714285,264557037.29,3.4,3,3.4,3.5,3.5,3.6,NA
USA,United States,2019,0.1455570579755481,0.5388832558084514,9451.463823237338,2127114976.576,3.89,3.78,4.05,3.87,4.09,4.08,58
USA,United States,2020,0.147137558679848,0.5422312824541302,9452.39167263427,2035418462.754,3.8,3.7,3.9,3.9,4.2,3.8,58
USA,United States,2021,0.13905795766310686,0.5240737467174753,9506.340239043824,2415572782.858,3.8,3.7,3.9,3.9,4.2,3.8,NA
USA,United States,2022,0.12812879844973762,0.5088046733230664,9497.17137677609,2709902547.102,3.8,3.7,3.9,3.9,4.2,3.8,NA
USA,United States,2023,0.12114089766674777,0.4964782414212503,9469.386902173914,2578561520.598,3.8,3.7,3.9,3.9,4.2,3.8,NA
ZAF,South Africa,2019,0.16787100991471818,0.521836150620617,8418.303127330848,64828059.9392331,3.38,3.17,3.19,3.19,3.41,3.74,65
ZAF,South Africa,2020,0.175622641041746,0.5323980337214095,8356.328698030635,51803686.84047576,3.7,3.3,3.6,3.8,3.8,3.8,65
ZAF,South Africa,2021,0.17280205476450453,0.5311748156582619,8445.05064330544,68856171.74946253,3.7,3.3,3.6,3.8,3.8,3.8,NA
ZAF,South Africa,2022,0.1876321385155398,0.5502277262669797,8423.08176100629,76659039.473268,3.7,3.3,3.6,3.8,3.8,3.8,NA
ZAF,South Africa,2023,0.18937800092166746,0.5600697324367365,8314.527606837606,75735854.013537,3.7,3.3,3.6,3.8,3.8,3.8,NA
