year,reporter_region,partner_region,total_value_kusd,region_total,import_share_pct
2022,Latin America & Caribbean,Europe & Central Asia,128117790.17256,760205027.28468,16.853057474530843
2022,Latin America & Caribbean,Latin America & Caribbean,56311668.53312,760205027.28468,7.407431746966404
2022,Latin America & Caribbean,"Middle East, North Africa, Afghanistan & Pakistan",14556201.91143,760205027.28468,1.9147731715774385
2022,Latin America & Caribbean,North America,230052008.82328,760205027.28468,30.261837342089898
2022,Latin America & Caribbean,South Asia,16476852.70897,760205027.28468,2.1674222239521947
2022,Latin America & Caribbean,Sub-Saharan Africa,2895232.72743,760205027.28468,0.3808489320007876
2022,"Middle East, North Africa, Afghanistan & Pakistan",East Asia & Pacific,90223533.351731,242372107.44643602,37.22521304216918
2022,"Middle East, North Africa, Afghanistan & Pakistan",Europe & Central Asia,87546254.91841,242372107.44643602,36.12059813349506
2022,"Middle East, North Africa, Afghanistan & Pakistan",Latin America & Caribbean,3418451.008435,242372107.44643602,1.4104143601550663
2022,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan",26234498.301593002,242372107.44643602,10.824058336576869
2022,"Middle East, North Africa, Afghanistan & Pakistan",North America,22022707.80399,242372107.44643602,9.08632104412303
2022,"Middle East, North Africa, Afghanistan & Pakistan",South Asia,11150225.345469,242372107.44643602,4.600457314558437
2022,"Middle East, North Africa, Afghanistan & Pakistan",Sub-Saharan Africa,1776436.716808,242372107.44643602,0.7329377689223545
2022,North America,East Asia & Pacific,1299312088.504524,3164115377.8140492,41.06399209127964
2022,North America,Europe & Central Asia,724845754.748849,3164115377.8140492,22.908322491375575
2022,North America,Latin America & Caribbean,507518721.573454,3164115377.8140492,16.03982980936924
2022,North America,"Middle East, North Africa, Afghanistan & Pakistan",54149409.594037,3164115377.8140492,1.71136014741177
2022,North America,North America,454048384.960089,3164115377.8140492,14.349931362925567
2022,North America,South Asia,103090602.790512,3164115377.8140492,3.25811768791228
2022,North America,Sub-Saharan Africa,21150415.642584,3164115377.8140492,0.6684464097259282
2022,South Asia,East Asia & Pacific,208624884.481342,401542831.911098,51.95582336469943
2022,South Asia,Europe & Central Asia,81195952.772975,401542831.911098,20.22099420540817
2022,South Asia,Latin America & Caribbean,10322755.877393,401542831.911098,2.5707732916717756
2022,South Asia,"Middle East, North Africa, Afghanistan & Pakistan",49557460.652042,401542831.911098,12.34176200236942
2022,South Asia,North America,31545402.65349,401542831.911098,7.856049254659385
2022,South Asia,South Asia,3181359.116157,401542831.911098,0.7922838769193509
2022,South Asia,Sub-Saharan Africa,17115016.357699,401542831.911098,4.262314004272471
2022,Sub-Saharan Africa,East Asia & Pacific,84398789.237524,187324175.07996202,45.0549370904728
2022,Sub-Saharan Africa,Europe & Central Asia,49194896.583112,187324175.07996202,26.261904830015908
2022,Sub-Saharan Africa,Latin America & Caribbean,3784014.922419,187324175.07996202,2.0200355457611057
2022,Sub-Saharan Africa,"Middle East, North Africa, Afghanistan & Pakistan",11073267.896698,187324175.07996202,5.911286085723434
2022,Sub-Saharan Africa,North America,14139722.974418,187324175.07996202,7.548263841750407
2022,Sub-Saharan Africa,South Asia,14909413.077082,187324175.07996202,7.959150531808136
2022,Sub-Saharan Africa,Sub-Saharan Africa,9824070.388709,187324175.07996202,5.244422074468207
2023,East Asia & Pacific,East Asia & Pacific,1366691493.202909,2397825413.797444,56.997122698707045
2023,East Asia & Pacific,Europe & Central Asia,574116589.533292,2397825413.797444,23.943218977901388
2023,East Asia & Pacific,Latin America & Caribbean,73681309.34510499,2397825413.797444,3.07283878639086
2023,East Asia & Pacific,"Middle East, North Africa, Afghanistan & Pakistan",48305972.203032,2397825413.797444,2.014574202319829
2023,East Asia & Pacific,North America,265382662.523267,2397825413.797444,11.067639078150382
2023,East Asia & Pacific,South Asia,31857974.71328,2397825413.797444,1.3286194453509617
2023,East Asia & Pacific,Sub-Saharan Africa,37789412.276559,2397825413.797444,1.5759868111795423
2023,Europe & Central Asia,East Asia & Pacific,1133181441.802503,5587619332.000061,20.280219078504878
2023,Europe & Central Asia,Europe & Central Asia,3651563646.55469,5587619332.000061,65.35097381531233
2023,Europe & Central Asia,Latin America & Caribbean,80366672.734105,5587619332.000061,1.4382989956715277
2023,Europe & Central Asia,"Middle East, North Africa, Afghanistan & Pakistan",131148550.839825,5587619332.000061,2.3471275161631495
2023,Europe & Central Asia,North America,430743867.464974,5587619332.000061,7.708897866361833
2023,Europe & Central Asia,South Asia,110149823.53761,5587619332.000061,1.9713193936957478
2023,Europe & Central Asia,Sub-Saharan Africa,50465329.066354,5587619332.000061,0.9031633342905302
2023,Latin America & Caribbean,East Asia & Pacific,289042910.43182,743444137.18091,38.8789010466679
2023,Latin America & Caribbean,Europe & Central Asia,133769300.23449,743444137.18091,17.99318785964661
2023,Latin America & Caribbean,Latin America & Caribbean,55433358.82707,743444137.18091,7.456291072153659
2023,Latin America & Caribbean,"Middle East, North Africa, Afghanistan & Pakistan",11026625.8437,743444137.18091,1.4831814916870851
2023,Latin America & Caribbean,North America,235722009.34859002,743444137.18091,31.706754759332956
2023,Latin America & Caribbean,South Asia,16199948.21752,743444137.18091,2.1790404157263397
2023,Latin America & Caribbean,Sub-Saharan Africa,2249984.27772,743444137.18091,0.30264335478544346
2023,"Middle East, North Africa, Afghanistan & Pakistan",East Asia & Pacific,95807957.585314,256175942.931531,37.39927976411154
2023,"Middle East, North Africa, Afghanistan & Pakistan",Europe & Central Asia,94959347.217385,256175942.931531,37.06801900706386
2023,"Middle East, North Africa, Afghanistan & Pakistan",Latin America & Caribbean,3330028.092751,256175942.931531,1.2998988330613963
2023,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan",23646831.983239,256175942.931531,9.23069969515411
2023,"Middle East, North Africa, Afghanistan & Pakistan",North America,24272856.380833,256175942.931531,9.475072523621192
2023,"Middle East, North Africa, Afghanistan & Pakistan",South Asia,12512027.682398,256175942.931531,4.884154046323597
2023,"Middle East, North Africa, Afghanistan & Pakistan",Sub-Saharan Africa,1646893.989611,256175942.931531,0.6428761306642954
2023,North America,East Asia & Pacific,1129971779.200437,3027833762.3848853,37.319478804886906
2023,North America,Europe & Central Asia,739770495.835602,3027833762.3848853,24.432335256507574
2023,North America,Latin America & Caribbean,528037450.391211,3027833762.3848853,17.439446542643086
2023,North America,"Middle East, North Africa, Afghanistan & Pakistan",47767051.519193,3027833762.3848853,1.5775982193146922
2023,North America,North America,467873900.002394,3027833762.3848853,15.452430242863507
2023,North America,South Asia,94426379.211752,3027833762.3848853,3.118611741001814
2023,North America,Sub-Saharan Africa,19986706.224296,3027833762.3848853,0.6600991927824132
2023,South Asia,East Asia & Pacific,206247794.989841,392096805.74678004,52.60124335800834
2023,South Asia,Europe & Central Asia,83521451.942287,392096805.74678004,21.30123242988773
2023,South Asia,Latin America & Caribbean,10545358.905038,392096805.74678004,2.6894784018843283
2023,South Asia,"Middle East, North Africa, Afghanistan & Pakistan",39568760.229263,392096805.74678004,10.091579336868378
2023,South Asia,North America,31333373.480259,392096805.74678004,7.991234057768478
2023,South Asia,South Asia,3055201.431023,392096805.74678004,0.7791956951049682
2023,South Asia,Sub-Saharan Africa,17824864.769069,392096805.74678004,4.546036720477767
2023,Sub-Saharan Africa,East Asia & Pacific,85885299.020917,187235160.647871,45.87028351071281
2023,Sub-Saharan Africa,Europe & Central Asia,49284350.934438,187235160.647871,26.32216660797273
2023,Sub-Saharan Africa,Latin America & Caribbean,3454954.53913,187235160.647871,1.84524879150645
2023,Sub-Saharan Africa,"Middle East, North Africa, Afghanistan & Pakistan",9885221.277973,187235160.647871,5.279575291183645
2023,Sub-Saharan Africa,North America,15955154.052876,187235160.647871,8.521451845725975
2023,Sub-Saharan Africa,South Asia,13628772.874331,187235160.647871,7.278960226900081
2023,Sub-Saharan Africa,Sub-Saharan Africa,9141407.948206,187235160.647871,4.882313725998315
