year,partner_iso3,partner_name,total_value,global_share_pct
2021,SYC,Seychelles,29400.120169437898,2.3778819550445007e-4
2021,BLM,BLM,24103.99794665166,1.949531547199404e-4
2021,MDV,Maldives,21604.29630661149,1.7473556585094802e-4
2021,COM,Comoros,20267.980057771503,1.6392743895882547e-4
2021,SOM,Somalia,18887.96588190496,1.5276588319787363e-4
2021,WSM,Samoa,16797.448044370318,1.3585777325164373e-4
2021,DMA,Dominica,16560.084413667468,1.339379760161927e-4
2021,TKL,TKL,15583.812046185314,1.2604188432518794e-4
2021,PSE,Palestine,13635.532003080481,1.1028419377435755e-4
2021,KIR,Kiribati,13303.272976798715,1.075968825033738e-4
2021,ASM,American Samoa,11462.301842155075,9.270710649022151e-5
2021,UMI,UMI,11445.06252641532,9.25676748906953e-5
2021,LCA,St. Lucia,10725.227908410563,8.674565192308447e-5
2021,TCD,Chad,10248.635176391403,8.289096952436491e-5
2021,MSR,MSR,9864.203141522785,7.978168291809659e-5
2021,FLK,Falkland Islands,9827.683999144288,7.948631606525698e-5
2021,GUM,Guam,9200.885964045561,7.441677305479006e-5
2021,FSM,Micronesia,8471.705154515666,6.85191580826298e-5
2021,VUT,Vanuatu,8430.698417006959,6.818749555677876e-5
2021,COK,Cook Islands,7925.811080517228,6.410396637441363e-5
2021,BDI,Burundi,6851.660770850892,5.5416237808541325e-5
2021,STP,Sao Tome and Principe,6696.623455030488,5.4162295873871594e-5
2021,CXR,CXR,6671.294985282916,5.3957439190243986e-5
2021,TUV,Tuvalu,6658.9488616712615,5.3857583732573376e-5
2021,ATA,ATA,6431.571183639235,5.201855289033104e-5
2021,SSD,South Sudan,6280.140290139954,5.07937797022863e-5
2021,CCK,CCK,6153.812437046345,4.9772039925171144e-5
2021,TMP,TMP,5697.139123419127,4.6078465798377695e-5
2021,VAT,VAT,5315.176592691067,4.298915254357834e-5
2021,TCA,Turks and Caicos Islands,5217.222151389792,4.219689694379036e-5
2021,NIU,NIU,5035.199740292221,4.072469953688132e-5
2021,ERI,Eritrea,4623.107232967129,3.739169500720591e-5
2021,PLW,Palau,4047.704205977476,3.273783486353548e-5
2021,GNB,Guinea-Bissau,3936.282373100994,3.1836654989888605e-5
2021,GRD,Grenada,3864.550400152898,3.125648673516722e-5
